Sourec airport IATA,Soure airport ID,Source Country,Source City,Cource airport name,Source Lat,Source Long,source timezone,source DST,Destination Airport IATA,Destination Airport ID,Destination Country,Destination city,Desitination Airport name,Destination Lat,Destination Long,Destination timezone,Destination DST,Distance
SZX,3374,China,Shenzhen,Shenzhen Bao'an International Airport,22.63929939,113.810997,8,U,CTU,3395,China,Chengdu,Chengdu Shuangliu International Airport,30.57850075,103.9469986,8,U,1318.27203
TYN,3369,China,Taiyuan,Taiyuan Wusu Airport,37.74689865,112.6279984,8,U,LHW,3378,China,Lanzhou,Lanzhou Zhongchuan Airport,36.51520157,103.6200027,8,U,809.8895304
XMN,3383,China,Xiamen,Xiamen Gaoqi International Airport,24.54400063,118.1279984,8,U,CTU,3395,China,Chengdu,Chengdu Shuangliu International Airport,30.57850075,103.9469986,8,U,1548.858868
XNN,6366,China,Xining,Xining Caojiabu Airport,36.5275,102.042999,8,U,CTU,3395,China,Chengdu,Chengdu Shuangliu International Airport,30.57850075,103.9469986,8,U,684.5764466
XNN,6366,China,Xining,Xining Caojiabu Airport,36.5275,102.042999,8,U,LXA,4097,China,Lhasa,Lhasa Gonggar Airport,29.29780006,90.91190338,8,U,1312.129134
XNN,6366,China,Xining,Xining Caojiabu Airport,36.5275,102.042999,8,U,NKG,3388,China,Nanjing,Nanjing Lukou Airport,31.74200058,118.8619995,8,U,1634.218578
XNN,6366,China,Xining,Xining Caojiabu Airport,36.5275,102.042999,8,U,YUS,7894,China,Yushu,Yushu Batang Airport,32.83638889,97.03638889,8,U,614.6640159
YUS,7894,China,Yushu,Yushu Batang Airport,32.83638889,97.03638889,8,U,XNN,6366,China,Xining,Xining Caojiabu Airport,36.5275,102.042999,8,U,614.6640159
BKK,3885,Thailand,Bangkok,Suvarnabhumi Airport,13.68109989,100.7470016,7,U,ICN,3930,South Korea,Seoul,Incheon International Airport,37.46910095,126.4509964,9,U,3668.677126
CJU,2370,South Korea,Cheju,Jeju International Airport,33.51129913,126.4929962,9,U,GMP,2378,South Korea,Seoul,Gimpo International Airport,37.5583,126.791,9,U,450.8122977
CJU,2370,South Korea,Cheju,Jeju International Airport,33.51129913,126.4929962,9,U,TAE,2381,South Korea,Taegu,Daegu Airport,35.896872,128.65531,9,U,330.788495
CTS,2287,Japan,Sapporo,New Chitose Airport,42.77519989,141.6920013,9,U,ICN,3930,South Korea,Seoul,Incheon International Airport,37.46910095,126.4509964,9,U,1421.127685
FUK,2305,Japan,Fukuoka,Fukuoka Airport,33.58589935,130.451004,9,U,ICN,3930,South Korea,Seoul,Incheon International Airport,37.46910095,126.4509964,9,U,563.3190318
GMP,2378,South Korea,Seoul,Gimpo International Airport,37.5583,126.791,9,U,CJU,2370,South Korea,Cheju,Jeju International Airport,33.51129913,126.4929962,9,U,450.8122977
GMP,2378,South Korea,Seoul,Gimpo International Airport,37.5583,126.791,9,U,TSA,2275,Taiwan,Taipei,Taipei Songshan Airport,25.06940079,121.552002,8,U,1474.472611
HSG,5996,Japan,Saga,Saga Airport,33.14970016,130.302002,9,N,ICN,3930,South Korea,Seoul,Incheon International Airport,37.46910095,126.4509964,9,U,593.8277799
