Sourec airport IATA,Soure airport ID,Source Country,Source City,Cource airport name,Source Lat,Source Long,source timezone,source DST,Destination Airport IATA,Destination Airport ID,Destination Country,Destination city,Desitination Airport name,Destination Lat,Destination Long,Destination timezone,Destination DST,Distance
CEK,2968,Russia,Chelyabinsk,Chelyabinsk Balandino Airport,55.305801,61.5033,5,N,OVB,4078,Russia,Novosibirsk,Tolmachevo Airport,55.01259995,82.65070343,7,N,
NJC,2972,Russia,Nizhnevartovsk,Nizhnevartovsk Airport,60.94929886,76.4835968,5,N,SVX,2975,Russia,Yekaterinburg,Koltsovo Airport,56.74309921,60.80270004,5,N,
NUX,4364,Russia,Novy Urengoy,Novy Urengoy Airport,66.06939697,76.52030182,5,N,SVX,2975,Russia,Yekaterinburg,Koltsovo Airport,56.74309921,60.80270004,5,N,
OVB,4078,Russia,Novosibirsk,Tolmachevo Airport,55.01259995,82.65070343,7,N,CEK,2968,Russia,Chelyabinsk,Chelyabinsk Balandino Airport,55.305801,61.5033,5,N,
OVB,4078,Russia,Novosibirsk,Tolmachevo Airport,55.01259995,82.65070343,7,N,SVX,2975,Russia,Yekaterinburg,Koltsovo Airport,56.74309921,60.80270004,5,N,
SVX,2975,Russia,Yekaterinburg,Koltsovo Airport,56.74309921,60.80270004,5,N,NJC,2972,Russia,Nizhnevartovsk,Nizhnevartovsk Airport,60.94929886,76.4835968,5,N,
SVX,2975,Russia,Yekaterinburg,Koltsovo Airport,56.74309921,60.80270004,5,N,NUX,4364,Russia,Novy Urengoy,Novy Urengoy Airport,66.06939697,76.52030182,5,N,
SVX,2975,Russia,Yekaterinburg,Koltsovo Airport,56.74309921,60.80270004,5,N,OVB,4078,Russia,Novosibirsk,Tolmachevo Airport,55.01259995,82.65070343,7,N,
BTK,2936,Russia,Bratsk,Bratsk Airport,56.37060165,101.697998,8,N,IKT,2937,Russia,Irkutsk,Irkutsk Airport,52.26800156,104.3889999,8,N,
BTK,2936,Russia,Bratsk,Bratsk Airport,56.37060165,101.697998,8,N,OVB,4078,Russia,Novosibirsk,Tolmachevo Airport,55.01259995,82.65070343,7,N,
CEK,2968,Russia,Chelyabinsk,Chelyabinsk Balandino Airport,55.305801,61.5033,5,N,OVB,4078,Russia,Novosibirsk,Tolmachevo Airport,55.01259995,82.65070343,7,N,
HTA,2935,Russia,Chita,Chita-Kadala Airport,52.026299,113.306,9,N,IKT,2937,Russia,Irkutsk,Irkutsk Airport,52.26800156,104.3889999,8,N,
IKT,2937,Russia,Irkutsk,Irkutsk Airport,52.26800156,104.3889999,8,N,BTK,2936,Russia,Bratsk,Bratsk Airport,56.37060165,101.697998,8,N,
IKT,2937,Russia,Irkutsk,Irkutsk Airport,52.26800156,104.3889999,8,N,HTA,2935,Russia,Chita,Chita-Kadala Airport,52.026299,113.306,9,N,
IKT,2937,Russia,Irkutsk,Irkutsk Airport,52.26800156,104.3889999,8,N,KCK,\N,Russia,Kirensk,Kirensk Airport,57.773,108.064,8,N,
IKT,2937,Russia,Irkutsk,Irkutsk Airport,52.26800156,104.3889999,8,N,ODO,8944,Russia,Bodaibo,Bodaybo Airport,57.86610031,114.2429962,8,N,
IKT,2937,Russia,Irkutsk,Irkutsk Airport,52.26800156,104.3889999,8,N,OVB,4078,Russia,Novosibirsk,Tolmachevo Airport,55.01259995,82.65070343,7,N,
IKT,2937,Russia,Irkutsk,Irkutsk Airport,52.26800156,104.3889999,8,N,UKX,6924,Russia,Ust-Kut,Ust-Kut Airport,56.8567009,105.7300034,8,N,
IKT,2937,Russia,Irkutsk,Irkutsk Airport,52.26800156,104.3889999,8,N,ULK,9026,Russia,Lensk,Lensk Airport,60.72060013,114.8259964,9,N,
IKT,2937,Russia,Irkutsk,Irkutsk Airport,52.26800156,104.3889999,8,N,YKS,2923,Russia,Yakutsk,Yakutsk Airport,62.09329987,129.7709961,9,N,
KCK,\N,Russia,Kirensk,Kirensk Airport,57.773,108.064,8,N,IKT,2937,Russia,Irkutsk,Irkutsk Airport,52.26800156,104.3889999,8,N,
MJZ,2925,Russia,Mirnyj,Mirny Airport,62.53469849,114.0390015,9,N,OVB,4078,Russia,Novosibirsk,Tolmachevo Airport,55.01259995,82.65070343,7,N,
ODO,8944,Russia,Bodaibo,Bodaybo Airport,57.86610031,114.2429962,8,N,IKT,2937,Russia,Irkutsk,Irkutsk Airport,52.26800156,104.3889999,8,N,
OVB,4078,Russia,Novosibirsk,Tolmachevo Airport,55.01259995,82.65070343,7,N,BTK,2936,Russia,Bratsk,Bratsk Airport,56.37060165,101.697998,8,N,
OVB,4078,Russia,Novosibirsk,Tolmachevo Airport,55.01259995,82.65070343,7,N,CEK,2968,Russia,Chelyabinsk,Chelyabinsk Balandino Airport,55.305801,61.5033,5,N,
OVB,4078,Russia,Novosibirsk,Tolmachevo Airport,55.01259995,82.65070343,7,N,IKT,2937,Russia,Irkutsk,Irkutsk Airport,52.26800156,104.3889999,8,N,
UKX,6924,Russia,Ust-Kut,Ust-Kut Airport,56.8567009,105.7300034,8,N,IKT,2937,Russia,Irkutsk,Irkutsk Airport,52.26800156,104.3889999,8,N,
ULK,9026,Russia,Lensk,Lensk Airport,60.72060013,114.8259964,9,N,IKT,2937,Russia,Irkutsk,Irkutsk Airport,52.26800156,104.3889999,8,N,
YKS,2923,Russia,Yakutsk,Yakutsk Airport,62.09329987,129.7709961,9,N,IKT,2937,Russia,Irkutsk,Irkutsk Airport,52.26800156,104.3889999,8,N,
BXU,4200,Philippines,Butuan,Bancasi Airport,8.9515,125.4788,8,N,MNL,2397,Philippines,Manila,Ninoy Aquino International Airport,14.5086,121.019997,8,N,
CBO,2399,Philippines,Cotabato,Awang Airport,7.165239811,124.2099991,8,N,MNL,2397,Philippines,Manila,Ninoy Aquino International Airport,14.5086,121.019997,8,N,
CRM,6024,Philippines,Catarman,Catarman National Airport,12.5024004,124.6360016,8,N,MNL,2397,Philippines,Manila,Ninoy Aquino International Airport,14.5086,121.019997,8,N,
DGT,2425,Philippines,Dumaguete,Sibulan Airport,9.333709717,123.3000031,8,N,MNL,2397,Philippines,Manila,Ninoy Aquino International Airport,14.5086,121.019997,8,N,
DWC,8076,United Arab Emirates,Dubai,Al Maktoum International Airport,24.896356,55.161389,4,U,MNL,2397,Philippines,Manila,Ninoy Aquino International Airport,14.5086,121.019997,8,N,
GES,2402,Philippines,Romblon,General Santos International Airport,6.058000088,125.0960007,8,N,MNL,2397,Philippines,Manila,Ninoy Aquino International Airport,14.5086,121.019997,8,N,
KLO,2430,Philippines,Kalibo,Kalibo International Airport,11.67940044,122.3759995,8,N,MNL,2397,Philippines,Manila,Ninoy Aquino International Airport,14.5086,121.019997,8,N,
LGP,4203,Philippines,Legazpi,Legazpi City International Airport,13.1575,123.735,8,N,MNL,2397,Philippines,Manila,Ninoy Aquino International Airport,14.5086,121.019997,8,N,
MNL,2397,Philippines,Manila,Ninoy Aquino International Airport,14.5086,121.019997,8,N,BXU,4200,Philippines,Butuan,Bancasi Airport,8.9515,125.4788,8,N,
MNL,2397,Philippines,Manila,Ninoy Aquino International Airport,14.5086,121.019997,8,N,CBO,2399,Philippines,Cotabato,Awang Airport,7.165239811,124.2099991,8,N,
MNL,2397,Philippines,Manila,Ninoy Aquino International Airport,14.5086,121.019997,8,N,CRM,6024,Philippines,Catarman,Catarman National Airport,12.5024004,124.6360016,8,N,
MNL,2397,Philippines,Manila,Ninoy Aquino International Airport,14.5086,121.019997,8,N,DGT,2425,Philippines,Dumaguete,Sibulan Airport,9.333709717,123.3000031,8,N,
MNL,2397,Philippines,Manila,Ninoy Aquino International Airport,14.5086,121.019997,8,N,DWC,8076,United Arab Emirates,Dubai,Al Maktoum International Airport,24.896356,55.161389,4,U,
MNL,2397,Philippines,Manila,Ninoy Aquino International Airport,14.5086,121.019997,8,N,GES,2402,Philippines,Romblon,General Santos International Airport,6.058000088,125.0960007,8,N,
MNL,2397,Philippines,Manila,Ninoy Aquino International Airport,14.5086,121.019997,8,N,KLO,2430,Philippines,Kalibo,Kalibo International Airport,11.67940044,122.3759995,8,N,
MNL,2397,Philippines,Manila,Ninoy Aquino International Airport,14.5086,121.019997,8,N,LGP,4203,Philippines,Legazpi,Legazpi City International Airport,13.1575,123.735,8,N,
MNL,2397,Philippines,Manila,Ninoy Aquino International Airport,14.5086,121.019997,8,N,MPH,2426,Philippines,Caticlan,Godofredo P. Ramos Airport,11.9245,121.954002,8,N,
MNL,2397,Philippines,Manila,Ninoy Aquino International Airport,14.5086,121.019997,8,N,OZC,4204,Philippines,Ozamis,Labo Airport,8.178509712,123.8420029,8,N,
MNL,2397,Philippines,Manila,Ninoy Aquino International Airport,14.5086,121.019997,8,N,PPS,2433,Philippines,Puerto Princesa,Puerto Princesa Airport,9.742119789,118.7590027,8,N,
MNL,2397,Philippines,Manila,Ninoy Aquino International Airport,14.5086,121.019997,8,N,RXS,6026,Philippines,Roxas City,Roxas Airport,11.59770012,122.7519989,8,N,
MNL,2397,Philippines,Manila,Ninoy Aquino International Airport,14.5086,121.019997,8,N,SUG,6016,Philippines,Sangley Point,Surigao Airport,9.755838326,125.4809475,8,N,
MNL,2397,Philippines,Manila,Ninoy Aquino International Airport,14.5086,121.019997,8,N,TUG,6021,Philippines,Tuguegarao,Tuguegarao Airport,17.64336768,121.7331505,8,N,
MNL,2397,Philippines,Manila,Ninoy Aquino International Airport,14.5086,121.019997,8,N,ZAM,2404,Philippines,Zamboanga,Zamboanga International Airport,6.922420025,122.0599976,8,N,
MPH,2426,Philippines,Caticlan,Godofredo P. Ramos Airport,11.9245,121.954002,8,N,MNL,2397,Philippines,Manila,Ninoy Aquino International Airport,14.5086,121.019997,8,N,
OZC,4204,Philippines,Ozamis,Labo Airport,8.178509712,123.8420029,8,N,MNL,2397,Philippines,Manila,Ninoy Aquino International Airport,14.5086,121.019997,8,N,
PPS,2433,Philippines,Puerto Princesa,Puerto Princesa Airport,9.742119789,118.7590027,8,N,MNL,2397,Philippines,Manila,Ninoy Aquino International Airport,14.5086,121.019997,8,N,
RXS,6026,Philippines,Roxas City,Roxas Airport,11.59770012,122.7519989,8,N,MNL,2397,Philippines,Manila,Ninoy Aquino International Airport,14.5086,121.019997,8,N,
SUG,6016,Philippines,Sangley Point,Surigao Airport,9.755838326,125.4809475,8,N,MNL,2397,Philippines,Manila,Ninoy Aquino International Airport,14.5086,121.019997,8,N,
TUG,6021,Philippines,Tuguegarao,Tuguegarao Airport,17.64336768,121.7331505,8,N,MNL,2397,Philippines,Manila,Ninoy Aquino International Airport,14.5086,121.019997,8,N,
ZAM,2404,Philippines,Zamboanga,Zamboanga International Airport,6.922420025,122.0599976,8,N,MNL,2397,Philippines,Manila,Ninoy Aquino International Airport,14.5086,121.019997,8,N,
BKK,3885,Thailand,Bangkok,Suvarnabhumi Airport,13.68109989,100.7470016,7,U,SIN,3316,Singapore,Singapore,Singapore Changi Airport,1.35019,103.994003,8,N,
HAK,4120,China,Haikou,Haikou Meilan International Airport,19.93490028,110.4589996,8,U,SIN,3316,Singapore,Singapore,Singapore Changi Airport,1.35019,103.994003,8,N,
HGH,3386,China,Hangzhou,Hangzhou Xiaoshan International Airport,30.22949982,120.4339981,8,U,SIN,3316,Singapore,Singapore,Singapore Changi Airport,1.35019,103.994003,8,N,
HKG,3077,Hong Kong,Hong Kong,Hong Kong International Airport,22.308901,113.915001,8,U,SIN,3316,Singapore,Singapore,Singapore Changi Airport,1.35019,103.994003,8,N,
HKT,3179,Thailand,Phuket,Phuket International Airport,8.1132,98.316902,7,U,SIN,3316,Singapore,Singapore,Singapore Changi Airport,1.35019,103.994003,8,N,
